Bandel,Startläge,Slutläge,Spårnamn,Start Date,End Date,Day Age,Radie,Medel Spårvidd Cirkulärkurva,Mätning Spårvidd
118,"1213 + 619,0 m","1213 + 814,0 m",E,120814 00:00,121014 00:00,4459,"-1230,0",,
118,"1191 + 556,0 m","1191 + 825,0 m",E,110401 00:00,110601 00:00,4960,"-450,0",,
118,"1151 + 766,0 m","1152 + 70,0 m",E,110401 00:00,110601 00:00,4960,"-1750,0",,
118,"1185 + 250,0 m","1185 + 653,0 m",E,110401 00:00,110601 00:00,4960,"393,0",,
118,"1192 + 983,0 m","1193 + 642,0 m",E,110401 00:00,110601 00:00,4960,"1775,0",,
118,"1196 + 734,0 m","1196 + 970,0 m",E,110401 00:00,110601 00:00,4960,"417,0",,
118,"1163 + 916,0 m","1164 + 148,0 m",E,110401 00:00,110601 00:00,4960,"1150,0",,
118,"1199 + 157,0 m","1199 + 494,0 m",E,120814 00:00,121014 00:00,4459,"-555,0",,
118,"1217 + 260,0 m","1217 + 489,0 m",E,110401 00:00,110601 00:00,4960,"-1330,0",,
118,"1174 + 553,0 m","1174 + 859,0 m",E,110401 00:00,110601 00:00,4960,"2620,0",,
118,"1165 + 476,0 m","1165 + 807,0 m",E,110401 00:00,110601 00:00,4960,"-900,0",,
118,"1230 + 221,0 m","1230 + 429,0 m",E,120814 00:00,121014 00:00,4459,"-455,0",,
118,"1153 + 862,0 m","1154 + 242,0 m",E,110401 00:00,110601 00:00,4960,"-925,0",,
118,"1222 + 960,0 m","1222 + 991,0 m",E,120814 00:00,121014 00:00,4459,"-99000,0",,
118,"1215 + 937,0 m","1216 + 104,0 m",E,110401 00:00,110601 00:00,4960,"1815,0",,
118,"1197 + 78,0 m","1197 + 375,0 m",E,110401 00:00,110601 00:00,4960,"915,0",,
118,"1206 + 392,0 m","1206 + 417,0 m",E,120814 00:00,121014 00:00,4459,"-3000,0",,
118,"1209 + 594,0 m","1209 + 662,0 m",E,110401 00:00,110601 00:00,4960,"3000,0",,
118,"1178 + 126,0 m","1178 + 398,0 m",E,110401 00:00,110601 00:00,4960,"590,0",,
118,"1206 + 417,0 m","1206 + 692,0 m",E,120814 00:00,121014 00:00,4459,"-901,0",,
118,"1214 + 17,0 m","1214 + 206,0 m",E,110401 00:00,110601 00:00,4960,"1100,0",,
118,"1187 + 724,0 m","1187 + 922,0 m",E,110401 00:00,110601 00:00,4960,"2100,0",,
118,"1209 + 74,0 m","1209 + 204,0 m",E,110401 00:00,110601 00:00,4960,"8000,0",,
118,"1214 + 477,0 m","1214 + 749,0 m",E,120814 00:00,121014 00:00,4459,"-1085,0",,
